nickname,teams,Unnamed: 0,player_id,age,country,rating
string,string,continuous,continuous,continuous,ARG AUS BEL BGR BIH BLR BRA CAN CHE CHN CZE DEU DNK ESP EST FIN FRA GBR GTM HKG HUN IDN ISR JOR KAZ KOR LTU LVA MEX MKD MNE MNG MYS NLD NOR NZL POL PRT ROU RUS SGP SRB SVK SWE THA TUR TWN UKR URY USA UZB XKX ZAF,continuous
Patsi,"Spirit, Espada, Spirit Academy",294.0,19673.0,18.0,RUS,1.09
Relaxa,"Chaos, Red Reserve, Japaleno, Apeks, Galaxy Racer",295.0,9279.0,29.0,SWE,1.03
znajder,"GODSENT, fnatic, EURONICS",296.0,3847.0,29.0,SWE,1.03
DEV7L,eXtatus,297.0,9358.0,25.0,CZE,1.03
AiyvaN,"pro100, spray'n'pray",298.0,9349.0,26.0,UKR,1.03
Maden,"ENCE, GODSENT, FunPlus Phoenix, SMASH",299.0,11777.0,23.0,MNE,1.08
captainMo,"TYLOO, OneThree",300.0,5187.0,33.0,CHN,1.03
Thomas,Endpoint,301.0,13018.0,24.0,GBR,1.12
RCF,"Sharks, Yeah, High Coast",302.0,11337.0,22.0,BRA,1.09
JonY BoY,"Gale Force, Miami Flamingos, Furious, Isurus",303.0,10499.0,30.0,ARG,1.03
rain,FaZe,304.0,8183.0,27.0,NOR,1.03
kressy,"ALTERNATE aTTaX, Sprout, EURONICS",305.0,12782.0,26.0,DEU,1.07
cxzi,Triumph,306.0,17353.0,22.0,USA,1.09
juho,"ENCE, iGame.com",307.0,7775.0,27.0,FIN,1.03
F1KU,"lvlUP, RESISTANCE, ONYX, 4glory",308.0,3732.0,19.0,POL,1.07
DiMKE,AGO,309.0,19044.0,28.0,SRB,1.03
